eventname,outcome,type,compiledgametime,playsection,zone,manpowersituation,goal,teamid,playerid,opposingteamgoalieoniceid,xadjcoord,yadjcoord
pass,successful,south,0.73,southCenterNZ,nz,evenStrength,0,311,111452,80264,-2.316772461,9.808822632
reception,successful,regular,1.33,centerPointDZ,dz,evenStrength,0,311,80,80264,-26.45794678,6.791175842
pass,successful,stretchoffboards,2.57,westPointDZ,dz,evenStrength,0,311,80,80264,-30.48147583,30.93235207
reception,successful,regular,3.17,northEastBoardsNZ,nz,evenStrength,0,311,111452,80264,3.718521118,35.45882416
pass,successful,outlet,5.43,innerSlotDZ,dz,evenStrength,0,315,80264,5152,-81.17146301,3.770587921
reception,successful,regular,6.33,outsideNorthWestDZ,dz,evenStrength,0,315,79380,5152,-67.08911133,39.98235321
pass,successful,south,11.23,southEastBoardsNZ,nz,evenStrength,0,315,10534,5152,-17.29793549,27.40882111
reception,successful,regular,14.33,eastPointDZ,dz,evenStrength,0,315,400162,5152,-51.49793243,-32.9441185
pass,successful,d2doffboards,15.47,outsideNorthEastDZ,dz,evenStrength,0,315,400162,5152,-77.65087128,-25.90294075
reception,successful,regular,16.67,outsideNorthWestDZ,dz,evenStrength,0,315,79380,5152,-85.69792938,23.888237
pass,successful,outlet,17.97,outsideNorthWestDZ,dz,evenStrength,0,315,79380,5152,-80.16558075,33.44411469
reception,successful,regular,19.00,southWestBoardsNZ,nz,evenStrength,0,315,81408,5152,-15.78910828,-36.46470642
pass,successful,north,24.23,westPoint,oz,evenStrength,0,311,94531,80264,36.90477753,-39.47940826
reception,successful,regular,27.37,outsideNorthEast,oz,evenStrength,0,311,109964,80264,98.26360321,5.785293579
pass,successful,south,29.57,outsideNorthWest,oz,evenStrength,0,311,109964,80264,81.16360474,-36.96470642
reception,successful,regular,30.63,westPoint,oz,evenStrength,0,311,94531,80264,27.85183716,-37.46764374
shot,failed,outsideblocked,30.73,westPoint,oz,evenStrength,0,311,94531,80264,30.86948395,-36.96470642
pass,failed,d2doffboards,36.23,outsideNorthWestDZ,dz,evenStrength,0,315,400162,5152,-96.754776,24.89411926
pass,successful,south,38.03,outsideNorthWest,oz,evenStrength,0,311,370192,80264,96.75479889,-12.82349968
reception,successful,regular,38.40,outsideNorthWest,oz,evenStrength,0,311,109964,80264,77.643013,-15.33823395
shot,successful,outside,38.63,outsideNorthWest,oz,evenStrength,1,311,109964,80264,80.15772247,-13.32646942
pass,failed,outlet,48.43,outsideNorthWestDZ,dz,evenStrength,0,311,237838,80264,-92.35110474,25.39999962
pass,successful,north,50.03,westPoint,oz,evenStrength,0,315,20775372,5152,50.60697937,-36.96764755
reception,successful,regular,50.50,outsideNorthWest,oz,evenStrength,0,315,126723,5152,73.74227905,-39.48235321
pass,successful,outletoffboards,54.37,outsideNorthWestDZ,dz,evenStrength,0,311,6588,80264,-84.30404663,36.46470642
reception,successful,regular,54.97,outsideNorthWestDZ,dz,evenStrength,0,311,111452,80264,-65.69522095,40.48823547
pass,successful,outletoffboards,56.27,outsideNorthWestDZ,dz,evenStrength,0,311,111452,80264,-65.69522095,39.98529434
reception,successful,regular,56.87,westPointDZ,dz,evenStrength,0,311,237838,80264,-52.6187439,35.96176529
pass,failed,northoffboards,58.23,southEastBoardsNZ,nz,evenStrength,0,311,237838,80264,-24.45404053,26.90882301
pass,failed,north,59.77,southWestBoardsNZ,nz,evenStrength,0,315,20775372,5152,-8.237129211,-40.99117661
pass,successful,d2d,67.33,outsideNorthWestDZ,dz,evenStrength,0,311,446706,80264,-94.86581421,29.42353058
reception,successful,regular,68.50,outsideNorthEastDZ,dz,evenStrength,0,311,108339,80264,-95.3687439,-20.36764526
pass,failed,slot,76.47,outsideNorthWest,oz,evenStrength,0,315,56711,5152,81.27850342,-35.96179962
shot,failed,outside,79.43,outsideNorthEast,oz,evenStrength,0,315,884,5152,81.27853394,22.37940979
pass,failed,north,82.20,westPoint,oz,evenStrength,0,315,56711,5152,40.03739929,-38.47650146
pass,failed,northoffboards,85.73,outsideNorthWest,oz,evenStrength,0,315,179172,5152,93.85206604,-28.92058754
pass,failed,d2doffboards,87.37,outsideNorthWestDZ,dz,evenStrength,0,311,446706,80264,-98.38639832,2.264705658
pass,successful,outlet,90.90,outsideNorthWestDZ,dz,evenStrength,0,311,108339,80264,-87.32168579,32.44117737
reception,successful,regular,91.40,outsideNorthWestDZ,dz,evenStrength,0,311,110409,80264,-62.17463684,29.42353058
pass,failed,outlet,92.37,outsideNorthWestDZ,dz,evenStrength,0,311,110409,80264,-60.665802,31.4352932
pass,failed,north,93.13,westPoint,oz,evenStrength,0,315,179172,5152,44.06090164,-29.42350006
pass,successful,eastwest,98.33,southWestBoardsNZ,nz,evenStrength,0,315,56711,5152,-14.78322601,-37.97352982
reception,successful,regular,99.27,northCenterNZ,nz,evenStrength,0,315,54915,5152,15.39324188,14.83529282
pass,successful,south,99.77,northCenterNZ,nz,evenStrength,0,315,54915,5152,9.357948303,9.8058815
reception,successful,regular,100.57,northCenterNZ,nz,evenStrength,0,315,179172,5152,4.328536987,15.33823395
pass,successful,outlet,105.87,outsideNorthEastDZ,dz,evenStrength,0,311,108339,80264,-95.3687439,-12.82352829
reception,successful,regular,107.20,outsideNorthEastDZ,dz,evenStrength,0,311,113401,80264,-55.13345337,-38.473526
pass,successful,outlet,108.53,eastPointDZ,dz,evenStrength,0,311,113401,80264,-26.96875,-14.83529282
reception,successful,regular,109.10,southCenterNZ,nz,evenStrength,0,311,1462,80264,-17.91580963,-8.799999237
shot,successful,outside,111.13,centerPoint,oz,evenStrength,0,311,1462,80264,39.92242813,-10.30882263
pass,successful,slot,115.97,outsideNorthWest,oz,evenStrength,0,311,109964,80264,94.75086975,-16.34411621
reception,successful,regular,116.63,innerSlot,oz,evenStrength,0,311,112050,80264,82.68028259,-5.782352448
pass,successful,outlet,129.83,westPointDZ,dz,evenStrength,0,311,6588,80264,-38.02560425,31.4352932
reception,successful,regular,130.40,southCenterNZ,nz,evenStrength,0,311,109964,80264,-1.310890198,3.773529053
shot,successful,outside,131.70,northCenterNZ,oz,evenStrength,0,311,109964,80264,20.31558228,13.83235359
pass,successful,northoffboards,141.97,outsideNorthEast,oz,evenStrength,0,315,81408,5152,95.86383057,20.87059021
reception,successful,regular,144.00,outsideNorthWest,oz,evenStrength,0,315,10534,5152,92.34324646,-29.92647171
